adc6,Time_s,ch1,ch2
1202.0,7.157,0.0,0.0
1202.0,7.157,0.0,0.0
1202.0,7.157,0.0,0.0
1202.0,7.157,0.0,0.0
1202.0,7.157,0.0,0.0
1202.0,7.157,0.0,0.0
1202.0,7.157,0.0,0.0
1204.0,7.158,0.0,0.0
1204.0,7.158,0.0,0.0
1204.0,7.158,0.0,0.0
1204.0,7.158,0.0,0.0
1204.0,7.158,0.0,0.0
1204.0,7.158,0.0,0.0
1204.0,7.158,0.0,0.0
1204.0,7.158,0.0,0.0
1204.0,7.158,0.0,0.0
1204.0,7.158,0.0,0.0
1204.0,7.158,0.0,0.0
1203.0,7.159,0.0,0.0
1203.0,7.159,0.0,0.0
1203.0,7.159,0.0,0.0
1203.0,7.159,0.0,0.0
1203.0,7.159,0.0,0.0
1203.0,7.159,0.0,0.0
1203.0,7.159,0.0,0.0
1203.0,7.159,0.0,0.0
1203.0,7.159,0.0,0.0
1208.0,7.16,0.0,0.0
1208.0,7.16,0.0,0.0
1208.0,7.16,0.0,0.0
1208.0,7.16,0.0,0.0
1208.0,7.16,0.0,0.0
1208.0,7.16,0.0,0.0
1208.0,7.16,0.0,0.0
1208.0,7.16,0.0,0.0
1208.0,7.16,0.0,0.0
1208.0,7.16,0.0,0.0
1214.0,7.161,0.0,0.0
1214.0,7.161,0.0,0.0
1214.0,7.161,0.0,0.0
1214.0,7.161,0.0,0.0
1214.0,7.161,0.0,0.0
1214.0,7.161,0.0,0.0
1214.0,7.161,0.0,0.0
1214.0,7.161,0.0,0.0
1214.0,7.161,0.0,0.0
1214.0,7.161,0.0,0.0
1208.0,7.162,0.0,0.0
1208.0,7.162,0.0,0.0
1208.0,7.162,0.0,0.0
1208.0,7.162,0.0,0.0
1208.0,7.162,0.0,0.0
1208.0,7.162,0.0,0.0
1208.0,7.162,0.0,0.0
1208.0,7.162,0.0,0.0
1208.0,7.162,0.0,0.0
1208.0,7.162,0.0,0.0
1216.0,7.163,0.0,0.0
1216.0,7.163,0.0,0.0
1216.0,7.163,0.0,0.0
1216.0,7.163,0.0,0.0
1216.0,7.163,0.0,0.0
1216.0,7.163,0.0,0.0
1216.0,7.163,0.0,0.0
1216.0,7.163,0.0,0.0
1216.0,7.163,0.0,0.0
1216.0,7.163,0.0,0.0
1215.0,7.164,0.0,0.0
1215.0,7.164,0.0,0.0
1215.0,7.164,0.0,0.0
1215.0,7.164,0.0,0.0
1215.0,7.164,0.0,0.0
1215.0,7.164,0.0,0.0
1215.0,7.164,0.0,0.0
1215.0,7.164,0.0,0.0
1215.0,7.164,0.0,0.0
1215.0,7.164,0.0,0.0
1215.0,7.164,0.0,0.0
1219.0,7.165,0.0,0.0
1219.0,7.165,0.0,0.0
1219.0,7.165,0.0,0.0
1219.0,7.165,0.0,0.0
1219.0,7.165,0.0,0.0
1219.0,7.165,0.0,0.0
1219.0,7.165,0.0,0.0
1219.0,7.165,0.0,0.0
1219.0,7.165,0.0,0.0
1219.0,7.166,0.0,0.0
1219.0,7.166,0.0,0.0
1219.0,7.166,0.0,0.0
1219.0,7.166,0.0,0.0
1219.0,7.166,0.0,0.0
1219.0,7.166,0.0,0.0
1219.0,7.166,0.0,0.0
1219.0,7.166,0.0,0.0
