timestamp_us,grip_voltage,relative_time_us
102232192,2507,196741
102232563,2409,197112
102232937,2306,197486
102233307,2201,197856
102233678,2086,198227
102234053,1976,198602
102234424,1866,198973
102234794,1761,199343
102235165,1659,199714
102235535,1571,200084
102235910,1486,200459
102236280,1413,200829
102236650,1350,201199
102237021,1303,201570
102237391,1272,201940
102237761,1256,202310
102238132,1256,202681
102238502,1270,203051
102238873,1298,203422
102239248,1347,203797
102239618,1406,204167
102239989,1475,204538
102240359,1561,204908
102240736,1654,205285
102241106,1755,205655
102241477,1861,206026
102241847,1971,206396
102242218,2082,206767
102242589,2197,207138
102242959,2301,207508
102243330,2404,207879
102243705,2502,208254
102244075,2593,208624
102244446,2667,208995
102244816,2732,209365
102245187,2788,209736
102245558,2820,210107
102245933,2844,210482
102246303,2852,210852
102246673,2842,211222
102247046,2819,211595
102247417,2782,211966
102247787,2727,212336
102248158,2662,212707
102248528,2586,213077
102248903,2494,213452
102249273,2399,213822
102249644,2295,214193
102250015,2185,214564
102250385,2077,214934
102250755,1962,215304
102251128,1853,215677
102251499,1749,216048
102251869,1648,216418
102252244,1553,216793
102252615,1471,217164
102252986,1402,217535
102253356,1343,217905
102253728,1299,218277
102254099,1268,218648
102254470,1255,219019
102254840,1258,219389
102255211,1276,219760
102255581,1309,220130
102255952,1357,220501
102256323,1417,220872
102256695,1487,221244
102257066,1569,221615
102257437,1664,221986
102257807,1764,222356
102258178,1874,222727
102258548,1980,223097
102258923,2095,223472
102259293,2204,223842
102259663,2312,224212
102260038,2416,224587
102260408,2516,224957
102260779,2598,225328
102261150,2678,225699
102261520,2740,226069
102261895,2788,226444
102262265,2827,226814
102262636,2848,227185
102263007,2856,227556
102263377,2844,227926
102263747,2819,228296
102264118,2781,228667
102264489,2724,229038
102264859,2654,229408
102265234,2576,229783
102265605,2487,230154
102265975,2387,230524
102266346,2283,230895
102266719,2173,231268
102267090,2063,231639
102267460,1953,232009
102267830,1841,232379
102268201,1737,232750
102268572,1638,233121
102268942,1546,233491
102269313,1463,233862
102269685,1396,234234
102270056,1337,234605
102270427,1296,234976
102270797,1269,235346
102271168,1253,235717
102271538,1258,236087
102271913,1281,236462
102272283,1309,236832
102272654,1358,237203
102273024,1420,237573
102273395,1492,237944
102273765,1579,238314
102274136,1672,238685
102274507,1772,239056
102274882,1881,239431
102275252,1994,239801
102275622,2112,240171
102275993,2219,240542
102276364,2322,240913
102276738,2425,241287
102277109,2521,241658
102277480,2606,242029
102277850,2682,242399
102278225,2745,242774
102278596,2794,243145
102278966,2828,243515
102279337,2849,243886
102279710,2854,244259
102280081,2842,244630
102280451,2817,245000
102280821,2773,245370
102281192,2719,245741
102281563,2652,246112
102281937,2565,246486
102282307,2478,246856
102282678,2381,247227
102283053,2273,247602
102283424,2162,247973
102283794,2052,248343
102284165,1942,248714
102284535,1830,249084
102284910,1728,249459
102285280,1629,249829
102285650,1537,250199
102286021,1456,250570
102286391,1389,250940
102286761,1332,251310
102287132,1292,251681
102287502,1267,252051
102287873,1253,252422
102288248,1257,252797
102288618,1277,253167
102288989,1316,253538
102289359,1362,253908
102289736,1427,254285
102290106,1500,254655
102290477,1589,255026
102290847,1684,255396
102291218,1784,255767
102291589,1895,256138
102291959,2005,256508
102292330,2114,256879
102292705,2226,257254
102293075,2333,257624
102293446,2436,257995
102293816,2528,258365
102294187,2615,258736
102294558,2689,259107
102294933,2752,259482
102295303,2803,259852
102295673,2837,260222
102296046,2856,260595
102296417,2858,260966
102296787,2840,261336
102297158,2811,261707
102297528,2771,262077
102297903,2709,262452
102298273,2639,262822
102298644,2560,263193
102299015,2470,263564
102299385,2367,263934
102299755,2262,264304
102300128,2152,264677
102300499,2041,265048
102300869,1929,265418
102301244,1818,265793
102301615,1717,266164
102301986,1618,266535
102302356,1529,266905
102302728,1450,267277
102303099,1382,267648
102303470,1328,268019
102303840,1290,268389
102304211,1264,268760
102304581,1255,269130
102304952,1260,269501
102305323,1283,269872
102305695,1316,270244
102306066,1370,270615
102306437,1431,270986
102306807,1510,271356
102307178,1596,271727
102307548,1690,272097
102307923,1793,272472
102308293,1902,272842
102308663,2014,273212
102309038,2129,273587
102309408,2241,273957
102309779,2344,274328
102310150,2443,274699
102310520,2538,275069
102310895,2626,275444
102311265,2695,275814
102311636,2757,276185
102312007,2804,276556
102312377,2833,276926
102312747,2848,277296
102313118,2852,277667
102313489,2836,278038
102313859,2806,278408
102314234,2762,278783
102314605,2708,279154
102314975,2634,279524
102315346,2553,279895
102315719,2461,280268
102316090,2361,280639
102316460,2255,281009
102316830,2142,281379
102317201,2028,281750
102317572,1919,282121
102317942,1811,282491
102318313,1707,282862
102318685,1610,283234
102319056,1518,283605
102319427,1444,283976
102319797,1376,284346
102320168,1326,284717
102320538,1285,285087
102320913,1265,285462
102321283,1254,285832
102321654,1263,286203
102322024,1285,286573
102322395,1323,286944
102322765,1372,287314
102323136,1439,287685
102323507,1517,288056
102323882,1606,288431
102324252,1704,288801
102324622,1807,289171
102324993,1913,289542
102325364,2021,289913
102325738,2135,290287
102326109,2248,290658
102326480,2352,291029
102326850,2453,291399
102327225,2547,291774
102327596,2630,292145
102327966,2700,292515
102328337,2759,292886
102328710,2805,293259
102329081,2836,293630
102329451,2855,294000
102329821,2852,294370
102330192,2835,294741
102330563,2805,295112
102330937,2758,295486
102331307,2699,295856
102331678,2627,296227
102332053,2542,296602
102332424,2446,296973
102332794,2347,297343
102333165,2241,297714
102333535,2131,298084
102333910,2020,298459
102334280,1911,298829
102334650,1799,299199
102335021,1700,299570
102335391,1608,299940
102335761,1519,300310
102336132,1443,300681
102336502,1374,301051
102336873,1323,301422
102337248,1284,301797
102337618,1261,302167
102337989,1258,302538
102338359,1263,302908
102338736,1288,303285
102339106,1326,303655
102339477,1382,304026
