Time_s,ADC6,CH0
100.866,1232,
100.867,1232,
100.868,1223,
100.869,1216,
100.87,1207,
100.871,1200,
100.872,1193,
100.873,1195,
100.874,1196,
100.875,1192,
100.876,1200,
100.877,1204,
100.878,1212,
100.879,1216,
100.88,1226,
100.881,1232,
100.882,1234,
100.883,1240,
100.884,1244,
100.885,1247,
100.886,1243,
100.887,1240,
100.888,1232,
100.889,1224,
100.89,1216,
100.891,1212,
100.892,1199,
100.893,1200,
100.894,1200,
100.895,1207,
100.896,1205,
100.897,1211,
100.898,1216,
100.899,1228,
100.9,1232,
100.901,1235,
100.902,1244,
100.903,1243,
100.904,1248,
100.905,1248,
100.906,1248,
100.907,1239,
100.908,1232,
100.909,1223,
100.91,1216,
100.911,1208,
100.912,1202,
100.913,1195,
100.914,1200,
100.915,1200,
100.916,1207,
100.917,1215,
100.918,1219,
100.919,1220,
100.92,1227,
100.921,1228,
100.922,1239,
100.923,1232,
100.924,1236,
100.925,1240,
100.926,1235,
100.927,1236,
100.928,1236,
100.929,1223,
100.93,1216,
100.931,1207,
100.932,1208,
100.933,1200,
100.934,1200,
100.935,1195,
100.936,1199,
100.937,1211,
100.938,1213,
100.939,1221,
100.94,1231,
100.941,1232,
100.942,1240,
100.943,1243,
100.944,1247,
100.945,1248,
100.946,1251,
100.947,1252,
100.948,1248,
100.949,1233,
100.95,1219,
100.951,1215,
100.952,1207,
100.953,1196,
100.954,1200,
100.955,1200,
100.956,1203,
100.957,1211,
100.958,1209,
100.959,1213,
100.96,1223,
100.961,1230,
100.962,1231,
100.963,1232,
100.964,1232,
100.965,1235,
100.966,1239,
100.967,1235,
100.968,1229,
100.969,1223,
100.97,1211,
100.971,1201,
100.972,1193,
100.973,1187,
100.974,1189,
100.975,1187,
100.976,1195,
100.977,1200,
100.978,1212,
100.979,1216,
100.98,1219,
100.981,1225,
100.982,1229,
100.983,1232,
100.984,1232,
100.985,1234,
100.986,1232,
100.987,1232,
100.988,1220,
100.989,1212,
100.99,1211,
100.991,1203,
100.992,1192,
100.993,1191,
100.994,1184,
100.995,1191,
100.996,1195,
100.997,1199,
100.998,1207,
100.999,1215,
101.0,1224,
101.001,1225,
101.002,1232,
101.003,1231,
101.004,1232,
101.005,1240,
101.006,1234,
101.007,1232,
101.008,1227,
101.009,1223,
101.01,1207,
101.011,1195,
101.012,1191,
101.013,1188,
101.014,1183,
101.015,1184,
101.016,1186,
101.017,1192,
101.018,1201,
101.019,1205,
101.02,1215,
101.021,1216,
101.022,1220,
101.023,1231,
101.024,1228,
101.025,1232,
101.026,1232,
101.027,1224,
101.028,1216,
101.029,1207,
101.03,1204,
101.031,1196,
101.032,1196,
101.033,1191,
101.034,1191,
101.035,1198,
101.036,1198,
101.037,1206,
101.038,1215,
101.039,1224,
101.04,1232,
101.041,1229,
101.042,1231,
101.043,1240,
101.044,1236,
101.045,1240,
101.046,1239,
101.047,1237,
101.048,1232,
101.049,1221,
101.05,1215,
101.051,1212,
101.052,1206,
101.053,1199,
101.054,1196,
101.055,1196,
101.056,1199,
101.057,1208,
101.058,1211,
101.059,1215,
101.06,1219,
101.061,1220,
101.062,1223,
101.063,1231,
101.064,1239,
101.065,1238,
101.066,1229,
101.067,1227,
101.068,1217,
101.069,1211,
101.07,1200,
101.071,1198,
101.072,1188,
101.073,1183,
101.074,1183,
101.075,1188,
101.076,1200,
101.077,1203,
101.078,1216,
101.079,1216,
101.08,1224,
101.081,1228,
101.082,1228,
101.083,1239,
101.084,1236,
101.085,1237,
101.086,1240,
101.087,1236,
101.088,1232,
101.089,1224,
101.09,1217,
101.091,1207,
101.092,1197,
101.093,1193,
101.094,1185,
101.095,1191,
101.096,1194,
101.097,1199,
101.098,1204,
101.099,1215,
101.1,1228,
101.101,1225,
101.102,1231,
101.103,1231,
101.104,1238,
101.105,1239,
101.106,1231,
101.107,1231,
101.108,1231,
101.109,1220,
101.11,1208,
101.111,1204,
101.112,1191,
101.113,1192,
101.114,1198,
101.115,1196,
101.116,1203,
101.117,1213,
101.118,1222,
101.119,1224,
101.12,1226,
101.121,1231,
101.122,1240,
101.123,1240,
101.124,1243,
101.125,1240,
101.126,1240,
101.127,1240,
101.128,1232,
101.129,1223,
101.13,1215,
101.131,1207,
101.132,1197,
101.133,1200,
101.134,1192,
101.135,1195,
