timestamp_us,grip_voltage,relative_time_us
126502224,1990,187089
126502594,1995,187459
126502965,1999,187830
126503336,2005,188201
126503709,2011,188574
126504079,2018,188944
126504450,2026,189315
126504820,2034,189685
126505191,2041,190056
126505561,2051,190426
126505936,2059,190801
126506307,2067,191172
126506677,2076,191542
126507050,2083,191915
126507421,2089,192286
126507791,2098,192656
126508162,2104,193027
126508533,2110,193398
126508908,2114,193773
126509278,2118,194143
126509649,2121,194514
126510020,2124,194885
126510390,2125,195255
126510761,2124,195626
126511135,2123,196000
126511505,2122,196370
126511876,2119,196741
126512251,2116,197116
126512622,2112,197487
126512992,2105,197857
126513363,2099,198228
126513736,2093,198601
126514107,2086,198972
126514477,2078,199342
126514848,2071,199713
126515219,2063,200084
126515589,2055,200454
126515960,2046,200825
126516330,2038,201195
126516705,2031,201570
126517076,2023,201941
126517446,2016,202311
126517816,2009,202681
126518187,2003,203052
126518558,1997,203423
126518933,1992,203798
126519303,1988,204168
126519674,1985,204539
126520049,1983,204914
126520419,1981,205284
126520790,1981,205655
126521161,1982,206026
126521531,1985,206396
126521906,1987,206771
126522276,1990,207141
126522647,1995,207512
126523017,2000,207882
126523388,2004,208253
126523758,2013,208623
126524129,2020,208994
126524500,2027,209365
126524870,2035,209735
126525245,2043,210110
126525616,2052,210481
126525987,2060,210852
126526357,2068,211222
126526732,2077,211597
126527103,2085,211968
126527473,2092,212338
126527843,2100,212708
126528214,2104,213079
126528585,2109,213450
126528955,2114,213820
126529326,2118,214191
126529699,2122,214564
126530070,2124,214935
126530440,2124,215305
126530810,2124,215675
126531181,2124,216046
126531552,2122,216417
126531926,2119,216791
126532297,2115,217162
126532667,2110,217532
126533043,2105,217908
126533414,2100,218279
126533784,2092,218649
126534155,2085,219020
126534525,2077,219390
126534900,2070,219765
126535270,2061,220135
126535640,2054,220505
126536011,2048,220876
126536381,2038,221246
126536752,2029,221617
126537123,2021,221988
126537493,2014,222358
126537863,2008,222728
126538238,2002,223103
126538608,1996,223473
126538979,1991,223844
126539349,1986,224214
126539724,1984,224589
126540095,1982,224960
126540465,1981,225330
126540836,1981,225701
126541207,1982,226072
126541577,1984,226442
126541948,1987,226813
126542318,1990,227183
126542690,1995,227555
126543061,2002,227926
126543432,2006,228297
126543802,2013,228667
126544173,2020,229038
126544543,2028,229408
126544918,2036,229783
126545288,2044,230153
126545658,2052,230523
126546030,2061,230895
126546400,2070,231265
126546771,2077,231636
126547141,2085,232006
126547512,2091,232377
126547886,2099,232751
126548256,2106,233121
126548627,2110,233492
126548997,2115,233862
126549368,2119,234233
126549742,2121,234607
126550112,2123,234977
126550483,2125,235348
126550853,2124,235718
126551224,2123,236089
126551594,2121,236459
126551965,2119,236830
126552336,2114,237201
126552709,2110,237574
126553079,2105,237944
126553450,2099,238315
126553820,2092,238685
126554191,2084,239056
126554561,2077,239426
126554936,2069,239801
126555307,2061,240172
126555677,2053,240542
126556050,2044,240915
126556421,2037,241286
126556791,2028,241656
126557162,2020,242027
126557533,2014,242398
126557908,2006,242773
126558278,2000,243143
126558649,1995,243514
126559020,1990,243885
126559390,1989,244255
126559761,1984,244626
126560135,1982,245000
126560505,1981,245370
126560876,1981,245741
126561251,1982,246116
126561622,1983,246487
126561992,1987,246857
126562363,1991,247228
126562736,1995,247601
126563107,2001,247972
126563477,2007,248342
126563848,2013,248713
126564219,2021,249084
126564589,2029,249454
126564960,2036,249825
126565330,2045,250195
126565705,2054,250570
126566076,2061,250941
126566446,2070,251311
126566816,2078,251681
126567187,2085,252052
126567558,2093,252423
126567933,2099,252798
126568303,2106,253168
126568674,2111,253539
126569049,2115,253914
126569419,2117,254284
126569790,2121,254655
126570161,2123,255026
126570531,2125,255396
126570906,2124,255771
126571276,2123,256141
126571647,2121,256512
126572017,2118,256882
126572388,2114,257253
