time_s,ch0
0.631,-0.6180339887498768
0.632,-1.1755705045849567
0.633,-1.6180339887498878
0.634,-1.9021130325903133
0.635,-2.0
0.636,-1.9021130325902988
0.637,-1.6180339887498936
0.638,-1.1755705045849187
0.639,-0.6180339887498861
0.64,-1.567547902908612e-14
0.641,0.6180339887499103
0.642,1.1755705045849394
0.643,1.6180339887499087
0.644,1.9021130325903066
0.645,2.0
0.646,1.9021130325903055
0.647,1.618033988749873
0.648,1.175570504584936
0.649,0.6180339887499066
0.65,-1.9606728399089418e-14
0.651,-0.6180339887498898
0.652,-1.1755705045849678
0.653,-1.6180339887498958
0.654,-1.9021130325903175
0.655,-2.0
0.656,-1.9021130325902946
0.657,-1.6180339887498856
0.658,-1.1755705045849076
0.659,-0.618033988749873
0.66,-1.9544830335430583e-15
0.661,0.6180339887499233
0.662,1.1755705045849505
0.663,1.6180339887499167
0.664,1.9021130325903108
0.665,2.0
0.666,1.9021130325903013
0.667,1.6180339887498647
0.668,1.175570504584925
0.669,0.6180339887498936
0.67,-3.332772439463248e-14
0.671,-0.6180339887499029
0.672,-1.175570504584979
0.673,-1.618033988749904
0.674,-1.9021130325903217
0.675,-2.0
0.676,-1.9021130325902904
0.677,-1.6180339887498774
0.678,-1.1755705045849425
0.679,-0.6180339887498599
0.68,1.1766512962000004e-14
0.681,0.6180339887499364
0.682,1.1755705045849616
0.683,1.6180339887499247
0.684,1.902113032590315
0.685,2.0
0.686,1.902113032590297
0.687,1.6180339887498567
0.6880000000000001,1.1755705045849139
0.6890000000000001,0.6180339887498805
0.6900000000000001,-4.704872039017554e-14
0.6910000000000001,-0.6180339887499159
0.6920000000000001,-1.17557050458499
0.6930000000000001,-1.618033988749912
0.6940000000000001,-1.902113032590326
0.6950000000000001,-2.0
0.6960000000000001,-1.902113032590286
0.6970000000000001,-1.6180339887498694
0.6980000000000001,-1.1755705045849314
0.6990000000000001,-0.6180339887498469
0.7000000000000001,2.5487508957543065e-14
0.7010000000000001,0.6180339887499495
0.7020000000000001,1.1755705045849727
0.7030000000000001,1.6180339887499327
0.704,1.9021130325903017
0.705,2.0
0.706,1.9021130325903104
0.707,1.6180339887499156
0.708,1.1755705045849487
0.709,0.6180339887499215
0.71,-3.92629752491059e-15
0.711,-0.6180339887498749
0.712,-1.1755705045849092
0.713,-1.6180339887498867
0.714,-1.902113032590295
0.715,-2.0
0.716,-1.902113032590317
0.717,-1.6180339887498947
0.718,-1.1755705045849663
0.719,-0.6180339887498879
0.72,-1.7634913907721887e-14
0.721,0.6180339887499084
0.722,1.1755705045849376
0.723,1.618033988749874
0.724,1.902113032590306
0.725,2.0
0.726,1.902113032590306
0.727,1.6180339887499073
0.728,1.1755705045849376
0.729,0.6180339887499084
0.73,-1.7647293520453652e-14
0.731,-0.6180339887498879
0.732,-1.1755705045849203
0.733,-1.6180339887498947
0.734,-1.9021130325902993
0.735,-2.0
0.736,-1.9021130325903126
0.737,-1.6180339887498867
0.738,-1.1755705045849552
0.739,-0.6180339887498749
0.74,-3.9139179121788235e-15
0.741,0.6180339887498675
0.742,1.1755705045849487
0.743,1.618033988749882
0.744,1.9021130325903104
0.745,2.0
0.746,1.9021130325903017
0.747,1.6180339887498993
0.748,1.1755705045849265
0.749,0.6180339887498953
0.75,2.54751293448113e-14
0.751,-0.618033988749901
0.752,-1.1755705045849314
